ItemID,OrderID,ItemName,Barcode,Status,Received,Count
ITEM001,ORD101,Gadget Alpha,BC00001,Active,TRUE,15
ITEM002,ORD101,Widget Beta,BC00002,Active,TRUE,25
ITEM003,ORD102,Thingamajig Gamma,BC00003,Inactive,FALSE,5
ITEM004,ORD102,Doohickey Delta,BC00004,Active,TRUE,50
ITEM005,ORD103,Gizmo Epsilon,BC00005,Active,FALSE,8
ITEM006,ORD103,Contraption Zeta,BC00006,Active,TRUE,12
ITEM007,ORD104,Device Eta,BC00007,Active,TRUE,30
ITEM008,ORD104,Apparatus Theta,BC00008,Inactive,FALSE,3
ITEM009,ORD105,Mechanism Iota,BC00009,Active,TRUE,22
ITEM010,ORD105,Tool Kappa,BC00010,Active,TRUE,40
ITEM011,ORD106,Implement Lambda,BC00011,Active,FALSE,18
ITEM012,ORD106,Machine Mu,BC00012,Active,TRUE,7
ITEM013,ORD107,Appliance Nu,BC00013,Inactive,FALSE,1
ITEM014,ORD107,Utility Xi,BC00014,Active,TRUE,60
ITEM015,ORD108,Fixture Omicron,BC00015,Active,TRUE,14
ITEM016,ORD108,Fitting Pi,BC00016,Active,FALSE,28
ITEM017,ORD109,Component Rho,BC00017,Active,TRUE,35
ITEM018,ORD109,Module Sigma,BC00018,Inactive,TRUE,9
ITEM019,ORD110,Unit Tau,BC00019,Active,TRUE,45
ITEM020,ORD110,System Upsilon,BC00020,Active,FALSE,11
ITEM021,ORD111,Assembly Phi,BC00021,Active,TRUE,19
ITEM022,ORD111,Structure Chi,BC00022,Inactive,FALSE,4
ITEM023,ORD112,Frame Psi,BC00023,Active,TRUE,33
ITEM024,ORD112,Chassis Omega,BC00024,Active,TRUE,21
ITEM025,ORD113,Case Alpha,BC00025,Active,FALSE,16
ITEM026,ORD113,Housing Beta,BC00026,Inactive,TRUE,6
ITEM027,ORD114,Enclosure Gamma,BC00027,Active,TRUE,27
ITEM028,ORD114,Shell Delta,BC00028,Active,TRUE,38
ITEM029,ORD115,Body Epsilon,BC00029,Active,FALSE,13
ITEM030,ORD115,Form Zeta,BC00030,Inactive,FALSE,2
ITEM031,ORD116,Shape Eta,BC00031,Active,TRUE,41
ITEM032,ORD116,Figure Theta,BC00032,Active,TRUE,26
ITEM033,ORD117,Contour Iota,BC00033,Active,FALSE,10
ITEM034,ORD117,Profile Kappa,BC00034,Inactive,TRUE,7
ITEM035,ORD118,Outline Lambda,BC00035,Active,TRUE,31
ITEM036,ORD118,Silhouette Mu,BC00036,Active,TRUE,23
ITEM037,ORD119,Item Nu,BC00037,Active,FALSE,17
ITEM038,ORD119,Article Xi,BC00038,Inactive,FALSE,3
ITEM039,ORD120,Object Omicron,BC00039,Active,TRUE,48
ITEM040,ORD120,Entity Pi,BC00040,Active,TRUE,29
ITEM041,ORD121,Piece Rho,BC00041,Active,FALSE,12
ITEM042,ORD121,Part Sigma,BC00042,Inactive,TRUE,8
ITEM043,ORD122,Segment Tau,BC00043,Active,TRUE,37
